dcs_name,physical_parent,listed_v4_lines,meas_v4_line,listed_sections,meas_section,migration_status,notes
agg_tm_cyclone_pump_current,I_pump_phys,683,1413,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_cyclone_pump_freq,f_pump,682,1412,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_cyclone_sand_valve_feedback,u_sand,688,1418,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_cyclone_sand_valve_setpoint,u_sand_sp,687,1417,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_cyclone_sand_water_flow,Q_sand_water_phys,689,1419,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_motor_current,I_tm_phys,680,1420,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_overflow_pump_current,I_ov_pump_phys,697,1428,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_reducer_oil_temp,T_oil,690,1421,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_reducer_outlet_temp,T_oil_out,691,1422,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
fx_ah5_power,P_series1,1025,1705,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_ah6_power,P_series2,1026,1706,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_blower{b}_pressure,P_blower_pressure_b,1024,1693,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_nt{s}_motor_current,I_NT_s,738,1692,7. 浮选因果模型 / 7.2 浮选前浓缩,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_nt{s}_underflow_density,rho_under_s,737,1691,7. 浮选因果模型 / 7.2 浮选前浓缩,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s1_ft1701,Q_ft_s1_1701_phys,1027,1694,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s1_ft1702,Q_ft_s1_1702_phys,1028,1695,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s2_ft2701,Q_ft_s2_2701_phys,1029,1696,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s2_ft2702,Q_ft_s2_2702_phys,1030,1697,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_cao_curr,"I_drug_j_phys_{s,cao}",793,1688,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_cao_freq,"f_{s,cao}",792,1687,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_k6_level,L_k6_s,794,1690,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_k6_rough_curr,"I_drug_j_phys_{s,k6_rough}",793,1688,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_k6_rough_freq,"f_{s,k6_rough}",792,1687,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_naoh_curr,"I_drug_j_phys_{s,naoh}",793,1688,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_naoh_freq,"f_{s,naoh}",792,1687,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_ph,pH_s,824,1689,7. 浮选因果模型 / 7.4 NaOH/CaO/pH/Ca2+,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_pool{k}_level,"L_pool_{s,k}",1021,1698,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_pool{k}_pump_curr,"I_pool_phys_{s,k}",1023,1700,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_pool{k}_pump_freq,"f_pool_{s,k}",1022,1699,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_td_clean_curr,"I_drug_j_phys_{s,td_clean}",793,1688,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_td_clean_freq,"f_{s,td_clean}",792,1687,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_td_rough_curr,"I_drug_j_phys_{s,td_rough}",793,1688,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_td_rough_freq,"f_{s,td_rough}",792,1687,7. 浮选因果模型 / 7.3 药剂控制,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_tk{k}_mixer_curr,"I_mixer_phys_{s,k}",1018,1702,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_tk{k}_steam_fb,"u_steam_fb_{s,k}",1020,1704,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_tk{k}_steam_sp,"u_steam_sp_{s,k}",1019,1703,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_tk{k}_temp,"T_tank_{s,k}",1017,1701,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_{c}_air_flow,"Q_air_{s,c}",989,1683,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_{c}_air_sp,"Q_air_sp_{s,c}",990,1684,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_{c}_bv_pos,"u_bv_{s,c}",991,1685,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_{c}_froth_h,"h_froth_{s,c}",985,1679,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_{c}_level,"L_cell_aerated_{s,c}",902,1680,7. 浮选因果模型 / 7.6 液位、流量、停留时间,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_{c}_level_valve_fb,"u_lv_fb_{s,c}",904,1682,7. 浮选因果模型 / 7.6 液位、流量、停留时间,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_{c}_level_valve_sp,"u_lv_sp_{s,c}",903,1681,7. 浮选因果模型 / 7.6 液位、流量、停留时间,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_{c}_motor_curr,"I_cell_motor_phys_{s,c}",992,1686,7. 浮选因果模型 / 7.8 浮选 DCS 变量模板,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_{drug}_curr,"I_drug_j_phys_{s,drug}",,1688,,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
fx_s{s}_{drug}_freq,"f_{s,drug}",,1687,,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,migrated,
