variable,stage,state_type,defined_by_formula_id,source_v4_line,observable,notes
Q_j_ml_s,flotation,flow,V5_0179,785,no,
Q_k6_consumption_s,flotation,flow,V5_0180,1511,no,
Q_k6_refill_s,flotation,flow,V5_0181,1513,no,
Q_out_cell,flotation,flow,V5_0182,892,no,
"Q_out_cell_{s,c}",flotation,flow,V5_0183,1584,no,
Q_out_solid,flotation,flow,V5_0184,943,no,
"Q_out_solid_{s,c}",flotation,flow,V5_0185,1610,no,
Q_ov_pump,tower_mill,flow,V5_0186,1403,no,
Q_overflow,tower_mill,flow,V5_0187,1339,no,
Q_pump,tower_mill,flow,V5_0188,1315,no,
"Q_pump_pool_{s,k}",flotation,flow,V5_0189,1640,no,
Q_sand_water_phys,tower_mill,physical_signal,V5_0190,1326,no,
Q_tail,magnetic,flow,V5_0191,1252,no,
Q_tail_1,magnetic,flow,V5_0192,1250,no,
Q_tail_2,magnetic,flow,V5_0193,1251,no,
Q_tm_overflow,tower_mill,flow,V5_0194,1341,no,
Q_water_phys,tower_mill,physical_signal,V5_0195,1321,no,
"Q_{s,j}_ml_s",flotation,flow,V5_0196,1500,no,
R_coil,magnetic,derived,V5_0197,1217,no,
R_froth_zone,flotation,derived,V5_0198,938,no,
"R_froth_zone_{s,c}",flotation,derived,V5_0199,1588,no,
R_hm_j,magnetic,derived,V5_0200,533,no,
R_j,flotation,derived,V5_0201,944,no,
"R_j_{s,c}",flotation,derived,V5_0202,1611,no,
Stream,global,derived,V5_0203,159,no,
TFe,global,derived,V5_0204,179,no,
TFe_i,boundary,derived,V5_0205,320,no,
TFe_mixed,boundary,derived,V5_0206,395,no,
T_NT_in_s,flotation,state,V5_0207,1449,no,
T_bearing1,tower_mill,state,V5_0208,1394,no,
T_bearing2,tower_mill,state,V5_0209,1395,no,
T_coil,magnetic,state,V5_0210,1222,no,
T_coil_ss,magnetic,state,V5_0211,1221,no,
T_oil,tower_mill,state,V5_0212,1392,no,
T_oil_out,tower_mill,state,V5_0213,1393,no,
T_oil_ss,tower_mill,state,V5_0214,1391,no,
T_slurry_discharge,tower_mill,state,V5_0215,1382,no,
T_slurry_discharge_inst,tower_mill,state,V5_0216,1378,no,
T_slurry_feed,tower_mill,state,V5_0217,1306,no,
T_slurry_feed_in,tower_mill,state,V5_0218,1296,no,
T_slurry_i,boundary,state,V5_0219,374,no,
T_slurry_mixed,boundary,state,V5_0220,411,no,
T_slurry_overflow,tower_mill,state,V5_0221,1351,no,
T_slurry_sand,tower_mill,state,V5_0222,1353,no,
T_stator_A,tower_mill,state,V5_0223,1398,no,
T_stator_A_ss,tower_mill,state,V5_0224,1396,no,
T_stator_B,tower_mill,state,V5_0225,1399,no,
T_stator_B_ss,tower_mill,state,V5_0226,1397,no,
"T_tank_ss_{s,k}",flotation,state,V5_0227,1653,no,
"T_tank_{s,k}",flotation,state,V5_0228,1654,no,
T_tm_overflow,tower_mill,state,V5_0229,1352,no,
T_under,flotation,state,V5_0230,729,no,
T_under_s,flotation,state,V5_0231,1458,no,
V_exc_phys,magnetic,physical_signal,V5_0232,1218,no,
V_pulp_actual,flotation,derived,V5_0233,893,no,
"V_pulp_actual_{s,c}",flotation,derived,V5_0234,1585,no,
V_ring_motor_phys,magnetic,physical_signal,V5_0235,1265,no,
V_slurry,global,derived,V5_0236,200,no,
WI_discharge,tower_mill,derived,V5_0237,1383,no,
WI_feed,tower_mill,derived,V5_0238,1305,no,
WI_feed_in,tower_mill,derived,V5_0239,1295,no,
WI_mill,tower_mill,derived,V5_0240,1360,no,
