from_variable,to_variable,stage,formula_id,edge_type,source_v4_line
T_stator_A_prev,T_stator_A,tower_mill,V5_0223,formula_parent,1398
tau_thermal_A,T_stator_A,tower_mill,V5_0223,formula_parent,1398
T_stator_A_ss,T_stator_A,tower_mill,V5_0223,formula_parent,1398
T_amb,T_stator_A_ss,tower_mill,V5_0224,formula_parent,1396
k_heat_A,T_stator_A_ss,tower_mill,V5_0224,formula_parent,1396
I_tm_phys,T_stator_A_ss,tower_mill,V5_0224,formula_parent,1396
T_stator_B_prev,T_stator_B,tower_mill,V5_0225,formula_parent,1399
tau_thermal_B,T_stator_B,tower_mill,V5_0225,formula_parent,1399
T_stator_B_ss,T_stator_B,tower_mill,V5_0225,formula_parent,1399
T_amb,T_stator_B_ss,tower_mill,V5_0226,formula_parent,1397
k_heat_B,T_stator_B_ss,tower_mill,V5_0226,formula_parent,1397
I_tm_phys,T_stator_B_ss,tower_mill,V5_0226,formula_parent,1397
T_amb,"T_tank_ss_{s,k}",flotation,V5_0227,formula_parent,1653
ksteam_k,"T_tank_ss_{s,k}",flotation,V5_0227,formula_parent,1653
"u_steam_fb_{s,k}","T_tank_ss_{s,k}",flotation,V5_0227,formula_parent,1653
kreagent_k,"T_tank_ss_{s,k}",flotation,V5_0227,formula_parent,1653
"reagent_heat_load_{s,k}","T_tank_ss_{s,k}",flotation,V5_0227,formula_parent,1653
kmix_tank_k,"T_tank_ss_{s,k}",flotation,V5_0227,formula_parent,1653
"mixer_power_{s,k}","T_tank_ss_{s,k}",flotation,V5_0227,formula_parent,1653
kloss_tank_k,"T_tank_ss_{s,k}",flotation,V5_0227,formula_parent,1653
"T_tank_{s,k}","T_tank_ss_{s,k}",flotation,V5_0227,formula_parent,1653
"T_tank_ss_{s,k}","T_tank_{s,k}",flotation,V5_0228,formula_parent,1654
"T_tank_prev_{s,k}","T_tank_{s,k}",flotation,V5_0228,formula_parent,1654
tau_tank_k,"T_tank_{s,k}",flotation,V5_0228,formula_parent,1654
T_slurry_overflow,T_tm_overflow,tower_mill,V5_0229,formula_parent,1352
T_NT_in,T_under,flotation,V5_0230,formula_parent,729
k_cool_NT,T_under,flotation,V5_0230,formula_parent,729
T_amb,T_under,flotation,V5_0230,formula_parent,729
T_NT_in_s,T_under_s,flotation,V5_0231,formula_parent,1458
